filename,filepath,algorithm,original_size,compressed_size,compression_ratio,compression_time,speed_mbps
a.txt,data\academic_corpora\artificial\a.txt,gzip,1,21,0.047619047619047616,0.001009225845336914,0.0009449562957713206
a.txt,data\academic_corpora\artificial\a.txt,bzip2,1,37,0.02702702702702703,0.0,0.0
a.txt,data\academic_corpora\artificial\a.txt,lzma,1,60,0.016666666666666666,0.018162012100219727,5.250928758024076e-05
a.txt,data\academic_corpora\artificial\a.txt,zstd,1,10,0.1,0.0,0.0
a.txt,data\academic_corpora\artificial\a.txt,brotli,1,5,0.2,0.0,0.0
aaa.txt,data\academic_corpora\artificial\aaa.txt,gzip,100000,133,751.8796992481203,0.0,0.0
aaa.txt,data\academic_corpora\artificial\aaa.txt,bzip2,100000,47,2127.659574468085,0.0010111331939697266,94.31737797689225
aaa.txt,data\academic_corpora\artificial\aaa.txt,lzma,100000,148,675.6756756756756,0.020318984985351562,4.693513564254201
aaa.txt,data\academic_corpora\artificial\aaa.txt,zstd,100000,21,4761.9047619047615,0.0,0.0
aaa.txt,data\academic_corpora\artificial\aaa.txt,brotli,100000,14,7142.857142857143,0.00852656364440918,11.18474400917149
alphabet.txt,data\academic_corpora\artificial\alphabet.txt,gzip,100000,302,331.12582781456956,0.0,0.0
alphabet.txt,data\academic_corpora\artificial\alphabet.txt,bzip2,100000,131,763.3587786259542,0.012994527816772461,7.339045557125296
alphabet.txt,data\academic_corpora\artificial\alphabet.txt,lzma,100000,176,568.1818181818181,0.015249967575073242,6.253615371386583
alphabet.txt,data\academic_corpora\artificial\alphabet.txt,zstd,100000,46,2173.913043478261,0.0,0.0
alphabet.txt,data\academic_corpora\artificial\alphabet.txt,brotli,100000,34,2941.176470588235,0.005755424499511719,16.570008285004143
random.txt,data\academic_corpora\artificial\random.txt,gzip,100000,75747,1.3201842977279628,0.0029990673065185547,31.79903012958105
random.txt,data\academic_corpora\artificial\random.txt,bzip2,100000,75684,1.3212832302732413,0.006336688995361328,15.050041387613817
random.txt,data\academic_corpora\artificial\random.txt,lzma,100000,76824,1.3016765594085182,0.03629183769226074,2.6277928510895485
random.txt,data\academic_corpora\artificial\random.txt,zstd,100000,75114,1.3313097425246958,0.012409687042236328,7.684918347742555
random.txt,data\academic_corpora\artificial\random.txt,brotli,100000,75022,1.332942336914505,0.06444001197814941,1.4799412463325206
bib,data\academic_corpora\calgary\bib,gzip,111261,35083,3.1713650485990366,0.005998849868774414,17.687850244425896
bib,data\academic_corpora\calgary\bib,bzip2,111261,27467,4.0507154039392725,0.005995273590087891,17.69840133619661
bib,data\academic_corpora\calgary\bib,lzma,111261,30588,3.6374068262063552,0.020357608795166016,5.212142505797203
bib,data\academic_corpora\calgary\bib,zstd,111261,31936,3.483873997995992,0.031835079193115234,3.3330137950661296
bib,data\academic_corpora\calgary\bib,brotli,111261,28380,3.9204016913319237,0.11247444152832031,0.9433855076396073
book1,data\academic_corpora\calgary\book1,gzip,768771,312498,2.460082944530845,0.055995941162109375,13.09304107909258
book1,data\academic_corpora\calgary\book1,bzip2,768771,232598,3.305148797496109,0.04245185852050781,17.270319450060654
book1,data\academic_corpora\calgary\book1,lzma,768771,261116,2.944174236737695,0.20244407653808594,3.621529315331782
book1,data\academic_corpora\calgary\book1,zstd,768771,264765,2.9035975298849923,0.18881940841674805,3.8828485061227376
book1,data\academic_corpora\calgary\book1,brotli,768771,256323,2.999227537130886,0.9329793453216553,0.7858235678788633
book2,data\academic_corpora\calgary\book2,gzip,610856,206147,2.9632058676575452,0.025793790817260742,22.585190457263813
book2,data\academic_corpora\calgary\book2,bzip2,610856,157443,3.8798549316260487,0.04617571830749512,12.616104298438104
book2,data\academic_corpora\calgary\book2,lzma,610856,169824,3.5969945355191255,0.15140128135681152,3.847772442887895
book2,data\academic_corpora\calgary\book2,zstd,610856,173849,3.513715925889709,0.14821338653564453,3.9305334817550657
book2,data\academic_corpora\calgary\book2,brotli,610856,165262,3.6962883179436288,0.8213145732879639,0.709299088521596
geo,data\academic_corpora\calgary\geo,gzip,102400,68373,1.4976672078159508,0.016068220138549805,6.077602196008606
geo,data\academic_corpora\calgary\geo,bzip2,102400,56921,1.7989845575446672,0.006433248519897461,15.179928102879591
geo,data\academic_corpora\calgary\geo,lzma,102400,53364,1.9188966344351999,0.027364492416381836,3.568721411457199
geo,data\academic_corpora\calgary\geo,zstd,102400,63051,1.6240820922745078,0.025885820388793945,3.7725769758595598
geo,data\academic_corpora\calgary\geo,brotli,102400,52915,1.9351790607578192,0.3038160800933838,0.32143213081408806
news,data\academic_corpora\calgary\news,gzip,377109,144492,2.6098953575284445,0.016354084014892578,21.990786366154474
news,data\academic_corpora\calgary\news,bzip2,377109,118600,3.1796711635750423,0.022185087203979492,16.21085211335719
news,data\academic_corpora\calgary\news,lzma,377109,118900,3.1716484440706476,0.09120750427246094,3.9430874756895795
news,data\academic_corpora\calgary\news,zstd,377109,122700,3.0734229828850856,0.09330916404724121,3.8542748877651922
