filename,improved_ratio,best_baseline_ratio,best_baseline_algo,improvement_pct,file_size_kb
a.txt,0.2,0.2,brotli,0.0,0.0009765625
aaa.txt,1851.851851851852,7142.857142857143,brotli,-74.07407407407408,97.65625
alphabet.txt,740.7407407407408,2941.176470588235,brotli,-74.81481481481481,97.65625
random.txt,1.331717516080489,1.332942336914505,brotli,-0.09188850860954706,97.65625
bib,3.617538041357784,4.0507154039392725,bzip2,-10.693848354792555,108.6533203125
book1,2.7401402200606646,3.305148797496109,bzip2,-17.094800024237326,750.7529296875
book2,3.3928904687847146,3.8798549316260487,bzip2,-12.55109975560986,596.5390625
geo,1.7339474397182335,1.9351790607578192,brotli,-10.398604714169606,100.0
news,2.6713490309418564,3.338193116634799,brotli,-19.976198571914317,368.2705078125
obj1,2.3021089819077187,2.3021089819077187,brotli,0.0,21.0
obj2,3.663885755002672,4.012974765868886,lzma,-8.699008372424437,241.029296875
paper1,2.93869541182974,3.4392831726725754,brotli,-14.555002763957987,51.9150390625
paper2,2.897493743170362,3.3078068410462778,brotli,-12.404385068208258,80.2724609375
paper3,2.7297582727059377,3.1782225561855317,brotli,-14.11053743252757,45.435546875
paper4,3.1020312864814383,3.1020312864814383,brotli,0.0,12.974609375
paper5,2.934937392585318,2.934937392585318,brotli,0.0,11.673828125
paper6,2.9893308229387308,3.4220925011225862,brotli,-12.64611281085745,37.2119140625
pic,11.618581907090464,12.536114707247368,brotli,-7.31911618219687,501.1875
progc,2.999924265374129,3.409157414579568,brotli,-12.003938200545294,38.6826171875
progl,4.8036205162588,5.116475041062629,brotli,-6.114649681528661,69.966796875
progp,4.676484515579127,4.997874493927125,brotli,-6.430533194431279,48.2216796875
trans,4.88937014037468,6.083300870016881,brotli,-19.626363304284304,91.4990234375
alice29.txt,3.1871791110459147,3.520415721494375,bzip2,-9.465831220268653,148.5244140625
asyoulik.txt,2.96780388344911,3.1635623846950898,bzip2,-6.187913416629131,122.2451171875
cp.html,3.5687554395126195,3.5687554395126195,brotli,0.0,24.0263671875
fields.c,4.103790945896209,4.103790945896209,brotli,0.0,10.888671875
grammar.lsp,3.3104982206405693,3.3104982206405693,brotli,0.0,3.6337890625
kennedy.xls,16.791859630813384,20.965550940630344,lzma,-19.90737720957537,1005.609375
lcet10.txt,3.0093152153218017,3.9622119473381243,bzip2,-24.049615333084176,416.751953125
plrabn12.txt,2.8252694161379974,3.310007762215185,bzip2,-14.644628680652454,470.5673828125
ptt5,12.044779271984792,12.536114707247368,brotli,-3.9193597596751824,501.1875
sum,3.1605917844449953,4.045704612780364,lzma,-21.87784114389619,37.34375
xargs.1,2.887295081967213,2.887295081967213,brotli,0.0,4.1279296875
concatenated_types.dat,2.9156973184767967,2.929856467792726,zstd,-0.48327109097587734,1488.28125
mixed_code_logs.dat,2.7169574763661335,2.7118830591024428,brotli,0.18711784959378827,842.275390625
mixed_formats.dat,9.942988709490963,11.721466372907534,brotli,-15.172825709991908,503.9658203125
mixed_text_binary.dat,2.5843674085746176,2.7783169522330646,lzma,-6.980828573304448,615.0390625
multimedia_sim.dat,1.0043932138679752,1.004664321164577,zstd,-0.02698486358980842,2010.05859375
bible.txt,3.730456173919936,4.786216275343381,bzip2,-22.058345061887128,3952.53125
E.coli,3.9790850323563522,4.0757692111686525,brotli,-2.372170105887273,4529.970703125
world192.txt,3.858562032772973,5.208111801529965,brotli,-25.91245772336417,2415.4296875
pi.txt,2.344193199026691,2.3534173974027683,brotli,-0.391949102877258,976.5625
