filename,ensemble_ratio,best_baseline_ratio,best_baseline_algo,improvement_pct,file_size_kb
a.txt,0.2,0.2,brotli,0.0,0.0009765625
aaa.txt,3846.153846153846,7142.857142857143,brotli,-46.15384615384615,97.65625
alphabet.txt,1515.1515151515152,2941.176470588235,brotli,-48.48484848484848,97.65625
random.txt,1.332551569745749,1.332942336914505,brotli,-0.02931613453441021,97.65625
bib,3.6586977967773757,4.0507154039392725,bzip2,-9.677737586320292,108.6533203125
book1,2.7414886902193487,3.305148797496109,bzip2,-17.05400094857375,750.7529296875
book2,3.3930789312892298,3.8798549316260487,bzip2,-12.546242292951169,596.5390625
geo,1.9084538541821976,1.9351790607578192,brotli,-1.3810198300283372,100.0
news,3.0043259348958746,3.338193116634799,brotli,-10.001434011567696,368.2705078125
obj1,2.3021089819077187,2.3021089819077187,brotli,0.0,21.0
obj2,3.664103325415677,4.012974765868886,lzma,-8.693586698337286,241.029296875
paper1,3.4392831726725754,3.4392831726725754,brotli,0.0,51.9150390625
paper2,3.2414133049410467,3.3078068410462778,brotli,-2.00717693915375,80.2724609375
paper3,3.1782225561855317,3.1782225561855317,brotli,0.0,45.435546875
paper4,3.1020312864814383,3.1020312864814383,brotli,0.0,12.974609375
paper5,2.934937392585318,2.934937392585318,brotli,0.0,11.673828125
paper6,3.4220925011225862,3.4220925011225862,brotli,0.0,37.2119140625
pic,12.047041149268797,12.536114707247368,brotli,-3.9013168704959953,501.1875
progc,3.409157414579568,3.409157414579568,brotli,0.0,38.6826171875
progl,4.96197797631415,5.116475041062629,brotli,-3.0195996952697426,69.966796875
progp,4.997874493927125,4.997874493927125,brotli,0.0,48.2216796875
trans,5.543098858190854,6.083300870016881,brotli,-8.8800804590901,91.4990234375
alice29.txt,3.2018062777625733,3.520415721494375,bzip2,-9.050335782404582,148.5244140625
asyoulik.txt,2.9679446143632786,3.1635623846950898,bzip2,-6.18346492163976,122.2451171875
cp.html,3.5687554395126195,3.5687554395126195,brotli,0.0,24.0263671875
fields.c,4.103790945896209,4.103790945896209,brotli,0.0,10.888671875
grammar.lsp,3.3104982206405693,3.3104982206405693,brotli,0.0,3.6337890625
kennedy.xls,16.796241926012918,20.965550940630344,lzma,-19.886474848306907,1005.609375
lcet10.txt,3.500393713704518,3.9622119473381243,bzip2,-11.655566127497622,416.751953125
plrabn12.txt,2.8254019443434615,3.310007762215185,bzip2,-14.640624816764976,470.5673828125
ptt5,12.047041149268797,12.536114707247368,brotli,-3.9013168704959953,501.1875
sum,4.045704612780364,4.045704612780364,lzma,0.0,37.34375
xargs.1,2.887295081967213,2.887295081967213,brotli,0.0,4.1279296875
concatenated_types.dat,2.91172542658497,2.929856467792726,zstd,-0.6188371821987309,1488.28125
mixed_code_logs.dat,2.717394044033321,2.7118830591024428,brotli,0.20321617159636288,842.275390625
mixed_formats.dat,12.32355048237654,11.721466372907534,brotli,5.136593752985,503.9658203125
mixed_text_binary.dat,2.8206988597174822,2.7783169522330646,lzma,1.5254525748170407,615.0390625
multimedia_sim.dat,1.0046942352721235,1.004664321164577,zstd,0.0029775226328259538,2010.05859375
bible.txt,3.8513762078989813,4.786216275343381,bzip2,-19.531922789622172,3952.53125
E.coli,4.006794471135159,4.0757692111686525,brotli,-1.6923122105266766,4529.970703125
world192.txt,3.8213627992633517,5.208111801529965,brotli,-26.626713386975176,2415.4296875
pi.txt,2.354775130748889,2.3534173974027683,brotli,0.05769199070335613,976.5625
