filename,filepath,entropy
a.txt,data\academic_corpora\artificial\a.txt,0.0
aaa.txt,data\academic_corpora\artificial\aaa.txt,0.0
alphabet.txt,data\academic_corpora\artificial\alphabet.txt,4.700439711793615
random.txt,data\academic_corpora\artificial\random.txt,5.99948840028008
bib,data\academic_corpora\calgary\bib,5.200676299765089
book1,data\academic_corpora\calgary\book1,4.5271485644703064
book2,data\academic_corpora\calgary\book2,4.792632804734776
geo,data\academic_corpora\calgary\geo,5.646375764301417
news,data\academic_corpora\calgary\news,5.189631614106075
obj1,data\academic_corpora\calgary\obj1,5.948170510344823
obj2,data\academic_corpora\calgary\obj2,6.260380901345051
paper1,data\academic_corpora\calgary\paper1,4.982982517726418
paper2,data\academic_corpora\calgary\paper2,4.601434708427091
paper3,data\academic_corpora\calgary\paper3,4.66510407555621
paper4,data\academic_corpora\calgary\paper4,4.699726051547729
paper5,data\academic_corpora\calgary\paper5,4.936154453970452
paper6,data\academic_corpora\calgary\paper6,5.009502936092171
pic,data\academic_corpora\calgary\pic,1.2101759413586748
progc,data\academic_corpora\calgary\progc,5.1990160325343595
progl,data\academic_corpora\calgary\progl,4.770085093315098
progp,data\academic_corpora\calgary\progp,4.868772210245368
trans,data\academic_corpora\calgary\trans,5.532780979531254
alice29.txt,data\academic_corpora\canterbury\alice29.txt,4.567680212177262
asyoulik.txt,data\academic_corpora\canterbury\asyoulik.txt,4.808116220349887
cp.html,data\academic_corpora\canterbury\cp.html,5.2291366881280865
fields.c,data\academic_corpora\canterbury\fields.c,5.007698078197542
grammar.lsp,data\academic_corpora\canterbury\grammar.lsp,4.6322676664540365
kennedy.xls,data\academic_corpora\canterbury\kennedy.xls,3.573470858581421
lcet10.txt,data\academic_corpora\canterbury\lcet10.txt,4.669117836842558
plrabn12.txt,data\academic_corpora\canterbury\plrabn12.txt,4.531362798245583
ptt5,data\academic_corpora\canterbury\ptt5,1.2101759413586748
sum,data\academic_corpora\canterbury\sum,5.328990058101007
xargs.1,data\academic_corpora\canterbury\xargs.1,4.898431525738646
concatenated_types.dat,data\academic_corpora\heterogeneous\concatenated_types.dat,5.36723991843326
mixed_code_logs.dat,data\academic_corpora\heterogeneous\mixed_code_logs.dat,6.559035830333917
mixed_formats.dat,data\academic_corpora\heterogeneous\mixed_formats.dat,4.976299315760399
mixed_text_binary.dat,data\academic_corpora\heterogeneous\mixed_text_binary.dat,6.8067861234298155
multimedia_sim.dat,data\academic_corpora\heterogeneous\multimedia_sim.dat,7.996641449293071
mixed_backup_simulation_1600kb.dat,data\academic_corpora\heterogeneous_additional\mixed_backup_simulation_1600kb.dat,7.015355870155199
mixed_binary_structured_1mb.dat,data\academic_corpora\heterogeneous_additional\mixed_binary_structured_1mb.dat,6.864510502114848
mixed_code_binary_1mb.dat,data\academic_corpora\heterogeneous_additional\mixed_code_binary_1mb.dat,7.24501846492542
mixed_code_logs_config_700kb.dat,data\academic_corpora\heterogeneous_additional\mixed_code_logs_config_700kb.dat,4.968430145225453
mixed_compressed_text_800kb.dat,data\academic_corpora\heterogeneous_additional\mixed_compressed_text_800kb.dat,3.4074524560112103
mixed_config_logs_800kb.dat,data\academic_corpora\heterogeneous_additional\mixed_config_logs_800kb.dat,4.909876989612338
mixed_database_simulation_900kb.dat,data\academic_corpora\heterogeneous_additional\mixed_database_simulation_900kb.dat,5.726086722719426
mixed_html_csv_xml_600kb.dat,data\academic_corpora\heterogeneous_additional\mixed_html_csv_xml_600kb.dat,4.898947643268878
mixed_interleaved_1500kb.dat,data\academic_corpora\heterogeneous_additional\mixed_interleaved_1500kb.dat,6.0297156713381455
mixed_markdown_images_1300kb.dat,data\academic_corpora\heterogeneous_additional\mixed_markdown_images_1300kb.dat,6.046914024246079
mixed_media_simulation_1200kb.dat,data\academic_corpora\heterogeneous_additional\mixed_media_simulation_1200kb.dat,7.947789866866723
mixed_multimedia_2mb.dat,data\academic_corpora\heterogeneous_additional\mixed_multimedia_2mb.dat,6.180598783895971
mixed_network_packets_950kb.dat,data\academic_corpora\heterogeneous_additional\mixed_network_packets_950kb.dat,5.482458090959091
mixed_spreadsheet_1100kb.dat,data\academic_corpora\heterogeneous_additional\mixed_spreadsheet_1100kb.dat,5.0687571873702835
mixed_text_binary_json_500kb.dat,data\academic_corpora\heterogeneous_additional\mixed_text_binary_json_500kb.dat,6.58837183499718
bible.txt,data\academic_corpora\large\bible.txt,4.342751389250247
E.coli,data\academic_corpora\large\E.coli,1.999821245554171
world192.txt,data\academic_corpora\large\world192.txt,4.998313741261708
pi.txt,data\academic_corpora\miscellaneous\pi.txt,3.321924113075452
